videoId,publishedTime,durationSec,viewCount,likeCount,dislikeCount,commentCount
pXZFuJKhBKA,09-04-2020 08:18,334,192343,4112,738,944
hQ6E1TkfzKA,08-04-2020 05:30,193,35863719,,,26970
JhHRnBc1ViU,07-04-2020 11:30,312,105524,1259,479,331
AX7t8ZwroHQ,07-04-2020 13:30,237,862123,31186,1268,2073
ybVXoZsegiY,07-04-2020 08:00,206,504321,14215,2200,936
-4RRc3J89XU,07-04-2020 06:30,16,2912483,82556,6976,3470
JuECmX5XSHs,06-04-2020 12:39,290,241365,6425,970,1093
AHKxmjwakb8,09-04-2020 12:30,282,217907,4879,1101,1032
lL0ULDPCqIA,06-04-2020 06:47,423,283280,6100,674,997
np5bNTK37Ic,05-04-2020 07:07,289,322062,9921,807,1229
XJZ5Co_K6-E,05-04-2020 12:42,266,741013,14371,1527,1351
l2nwRelRGak,04-04-2020 10:02,132,161651,2337,495,266
poYtscS7bto,04-04-2020 13:02,271,246537,4947,939,775
GeiBOC1Wc5U,04-04-2020 09:30,256,240218,5284,526,553
AgdhiCNqwEI,04-04-2020 06:30,1568,388657,11436,589,869
M05ozQabLtU,03-04-2020 11:30,219,247229,5586,899,938
mXhYUmv1yZg,03-04-2020 06:39,268,140149,2968,469,479
wbGQRPpzo64,02-04-2020 07:45,217,413541,9242,767,1038
5g0RsS_KgvU,02-04-2020 13:00,277,392107,7647,1174,758
peCqwDFgMYk,01-04-2020 08:30,241,170812,4324,619,596
SvVVVNovwj0,01-04-2020 11:30,217,323728,8291,1255,998
0NhiNqI0SFs,31-03-2020 05:32,283,64642653,1106361,72220,52650
EQa54Z5-C9E,30-03-2020 13:04,327,543790,9579,1368,1158
ZI9aVy7OL6k,30-03-2020 11:30,281,439070,7606,1272,647
#NAME?,29-03-2020 08:30,336,417578,9573,1012,1267
uWynm807UTk,28-03-2020 08:30,332,65738,813,477,261
F9Aha2-uTso,28-03-2020 11:30,323,374001,10475,1081,1096
zjuG4n78SJk,30-03-2020 05:31,189,4121119,76859,4681,7518
I13AUHYgvsM,28-03-2020 05:35,20,583177,13602,1568,791
VcMyjaVW1rQ,26-03-2020 12:48,342,512596,18695,1080,1638
qtRzUdBwM5E,25-03-2020 14:07,189,271053,6165,641,664
zTik-Lrq0FU,26-03-2020 05:33,230,1896662,54184,2858,3023
ZubgBFpUy58,25-03-2020 05:40,208,5660314,67898,7223,2502
0TwvGedEeEk,24-03-2020 10:30,350,508633,9070,1405,977
LgGOzR7y8KA,24-03-2020 07:03,196,1983087,46594,2910,1078
VUZFWBHOjWM,31-03-2020 12:40,290,441091,9583,1360,1152
msgwTJn0Udo,25-03-2020 11:30,340,406814,10562,955,931
wkMveopTfD8,29-03-2020 06:30,248,399451,10171,896,1136
7Rh3IceAMdI,27-03-2020 06:00,346,415252,9925,947,801
Ps-J0qGqg6Y,23-03-2020 08:39,329,920731,23694,1899,1649
OQk0VrL2I-w,20-03-2020 09:28,111,340884,21508,828,1366
p3eQ4g5i0o8,20-03-2020 11:00,203,1061585,33437,5271,1041
XXAn0AHYzUQ,19-03-2020 13:30,1851,510267,10190,1039,820
GyUTUtJJwbA,21-03-2020 05:30,237,1125265,30109,2490,2202
pw8f0PvBMB0,19-03-2020 10:30,211,451454,9914,814,721
EYlu0qrsDEg,27-03-2020 11:30,2285,254907,6412,1406,871
vzC_IYxEwAY,16-03-2020 13:34,298,527943,13825,1004,952
ijpu5Pw_e7I,18-03-2020 05:30,318,800222,15758,1376,1121
T8qZ-t6c49w,17-03-2020 10:30,170,10730279,79323,7140,2363
lMqUu2szLr8,17-03-2020 08:00,252,7340690,78226,3760,2020
oWC2D19gFz8,17-03-2020 05:54,167,1179508,15833,1657,955
m9tnUEFLzQs,16-03-2020 09:30,155,7880389,55458,6525,1699
OgpRminfnRA,16-03-2020 06:36,199,6192362,71845,5100,2665
Qbrzvs_aaAY,15-03-2020 06:30,190,1533875,25068,1533,1322
Qqc4eu2iXv8,13-03-2020 13:48,1810,410147,7803,815,779
PqMwTTrp7sw,14-03-2020 06:30,312,439864,13604,709,730
F7nZu6sM_1A,13-03-2020 09:30,336,449322,7172,445,329
mDeemxYFZvM,14-03-2020 10:33,298,530657,7106,746,540
PZWCGKkD-PY,20-03-2020 12:30,193,188966,2318,766,502
4j3Lox9iYzc,15-03-2020 08:30,228,378251,5486,1093,863
hhkbRdIo5zY,14-03-2020 08:30,285,625086,10695,839,736
M2p3o4pbaBw,12-03-2020 11:30,249,141881,2701,400,329
z7zI_mmIepY,12-03-2020 13:30,326,1651376,20808,772,1076
Twyd-0zLcgs,12-03-2020 13:00,409,350801,4083,379,249
ZRSI5yiUi3k,12-03-2020 12:15,390,265389,5934,526,528
sla7G5RUwZo,11-03-2020 06:30,151,8677084,113282,6523,4227
KkO_vVaaCIA,10-03-2020 07:56,147,288515,4738,836,512
miALiNbU0wY,09-03-2020 06:00,300,52364479,1132444,324383,130152
ScM5DMTCRh0,10-03-2020 04:21,2353,2171650,26339,2257,1234
Zu4DEf3hTSw,12-03-2020 06:30,193,1076796,11293,863,772
Lk0JI5V4c7g,07-03-2020 13:04,282,320636,3868,361,212
3HtSmdgJdJk,07-03-2020 13:04,300,763431,11543,1057,701
Vzcg2X5Vk2A,07-03-2020 10:43,1275,648725,9395,650,806
pH9M3z_4udM,13-03-2020 08:30,172,175402,3327,362,395
ysB7bH6xUBg,07-03-2020 12:47,171,381880,6290,457,328
ye2drKLBKv0,07-03-2020 12:46,163,425682,3762,636,195
Z6_jjxZDGV0,07-03-2020 12:00,1632,318399,8418,701,599
